State,lon,lat,Organisation
Al Gezira,33.27675,14.59401,1
Blue Nile,34.12759,11.29742,10
Central Darfur,23.35891,12.32557,29
East Darfur,26.46189,10.97722,16
Gedaref,35.11349,14.11432,7
Kassala,35.80979,15.81781,4
Khartoum,32.84263,15.85120,36
North Darfur,25.55175,16.22206,50
North Kordofan,29.74964,14.83836,19
Northern,29.32989,19.56047,1
Red Sea,35.70204,19.83929,7
Sennar,34.04537,12.90734,4
South Darfur,24.44487,10.99440,59
South Kordofan,30.83634,11.29126,43
West Darfur,22.61681,13.51929,27
West Kordofan,28.41430,11.95795,19
White Nile,32.31813,13.36197,10
